period,duration,depth,planet_radius,kepid,koi,disposition,semi_major_axis,source,star_radius,teff,logg,tic,planet_name,host_name,toi
13.2970695,3.283,219.7,0.91,8544992.0,K02466.02,CONFIRMED,0.094,Kepler,,,,,,,
5.398752862,3.4303,346.5,2.21,11295426.0,K00246.01,CONFIRMED,0.0602,Kepler,,,,,,,
5.26648126,1.964,97.8,1.07,7289162.0,K02539.01,FALSE POSITIVE,0.0598,Kepler,,,,,,,
2.67596808,2.021,420.6,1.57,3001885.0,K02540.01,FALSE POSITIVE,0.0348,Kepler,,,,,,,
7.41683033,7.274,72.6,3.36,12306058.0,K02541.01,CONFIRMED,0.0777,Kepler,,,,,,,
0.727331746,0.8323,357.4,0.67,6183511.0,K02542.01,CONFIRMED,0.0115,Kepler,,,,,,,
1.302017467,1.3692,290.5,1.37,12469800.0,K02543.01,CONFIRMED,0.0215,Kepler,,,,,,,
8.63050092,3.144,325.8,1.43,4915638.0,K02617.01,CONFIRMED,0.0779,Kepler,,,,,,,
12.49117388,2.848,189.9,1.36,6351097.0,K02618.01,FALSE POSITIVE,0.1008,Kepler,,,,,,,
3.27645723,2.219,323.0,1.71,8081905.0,K02619.01,CONFIRMED,0.0443,Kepler,,,,,,,
16.0573291,3.546,575.0,2.27,11465950.0,K02620.01,CONFIRMED,0.1199,Kepler,,,,,,,
8.44326557,3.353,359.5,1.97,9996632.0,K02621.01,FALSE POSITIVE,0.0844,Kepler,,,,,,,
4.60300256,2.6848,302.5,1.32,4665571.0,K02393.01,CONFIRMED,0.0496,Kepler,,,,,,,
16.9329284,1.218,488.3,2.46,4829935.0,K02395.01,FALSE POSITIVE,0.135,Kepler,,,,,,,
12.00089667,3.266,420.7,1.47,9269042.0,K02397.01,CONFIRMED,0.0906,Kepler,,,,,,,
1.169010526,1.1717,165.9,91.91,6199056.0,K02398.01,FALSE POSITIVE,0.0283,Kepler,,,,,,,
1.916940872,1.4243,105.1,0.89,11461433.0,K02399.01,CONFIRMED,0.0282,Kepler,,,,,,,
5.05661302,3.926,137.9,1.15,11818607.0,K02467.01,CONFIRMED,0.0583,Kepler,,,,,,,
24.3344939,6.557,323.1,1.74,8380709.0,K02468.01,CONFIRMED,0.167,Kepler,,,,,,,
131.187921,6.905,915.9,2.34,6149910.0,K02469.01,CONFIRMED,0.4644,Kepler,,,,,,,
2.17489806,4.599,74.8,1.08,9108085.0,K02470.01,FALSE POSITIVE,0.033,Kepler,,,,,,,
25.8859397,4.548,217.1,1.66,5436013.0,K02471.01,CONFIRMED,0.1606,Kepler,,,,,,,
28.6253502,4.551,652.7,2.38,8676148.0,K02544.01,CONFIRMED,0.1857,Kepler,,,,,,,
6.98141327,6.527,38.0,1.42,9696358.0,K02545.01,CONFIRMED,0.0806,Kepler,,,,,,,
1.319677953,1.978,100.7,1.13,5039129.0,K02546.01,FALSE POSITIVE,0.0245,Kepler,,,,,,,
8.94337724,2.469,215.1,1.48,4484336.0,K02547.01,CONFIRMED,0.0807,Kepler,,,,,,,
0.827151296,1.385,272.4,19.1,9580167.0,K02548.01,CANDIDATE,0.0172,Kepler,,,,,,,
12.282998287,2.7096,2794.7,2.83,9757613.0,K00250.01,CONFIRMED,0.0847,Kepler,,,,,,,
0.328686504,0.8592,171.9,1.11,10527135.0,K02622.01,FALSE POSITIVE,0.009,Kepler,,,,,,,
6.383159135,1.7504,2313.2,2.73,11752906.0,K00253.01,CONFIRMED,0.0562,Kepler,,,,,,,
5.57654782,3.673,53.6,0.92,10916600.0,K02623.01,CONFIRMED,0.0659,Kepler,,,,,,,
115.6863392,4.65,945.9,3.52,8429314.0,K02624.01,CONFIRMED,0.4684,Kepler,,,,,,,
3.81371423,1.973,281.0,1.37,9153570.0,K02625.01,CONFIRMED,0.0464,Kepler,,,,,,,
