period,duration,depth,planet_radius,semi_major_axis,source,star_radius,teff,logg
7.9194979,3.31,1997.7414693161086,7.46,0.08147801786964341,K2,0.84,5368.0,4.6248920664132696
6.339069,3.2,619.8565866795578,3.66,0.0689869284780266,K2,0.897,5367.0,4.456
2.65323,3.4422794795935405,88597.29158989139,62.27721531,0.04409237883735862,K2,13.730692,4621.0,2.17
7.04710032,2.926,400.9,25.2,0.071,Kepler,0.7248492568989056,4993.8791444628305,4.639267517814135
1.50650036,2.762,45.4,0.81,0.0258,Kepler,0.4152274825833064,3326.8732352412812,5.031873509363291
6.414,1.52112,472.55486873635544,1.1745757785466737,0.060186148994834265,K2,0.4094,3471.0,4.81805
4.6556782,1.89,131.65289389910836,0.814,0.039882563380607965,K2,0.66,4264.0,5.021596751974911
2.78801663,17.354,14.0,0.91,0.0465,Kepler,1.3536073756795084,6381.798563133243,4.274427025827804
370.94353,16.64,1071.3,27.77,0.9579,Kepler,1.3064215918031363,3626.3631525860683,4.849482965060648
2.25353739,5.74622,182830.0,96.65,0.037,Kepler,1.2044688854631054,6015.580945649224,4.432780498027817
10.08744556,2.9884,568.1,3.15,0.0956,Kepler,0.588545594028576,4026.9172996266393,4.683986104896459
0.90552205,1.32,337.96397479494505,1.52,0.017363063972230086,K2,0.5,3710.0,4.915684555689699
30.5392931,6.887,428.2,2.72,0.1942,Kepler,0.6974110713390036,4586.836386152447,4.640281352403437
5.03207,3.712529481375853,9366.989998712665,36.70955114,0.057073567259524,K2,3.685008,5070.0,3.25
